YEAR,MU,KILLS_509,KILLS_603
1976,509,5,2
1977,509,3,2
1978,509,2,8
1979,509,6,13
1980,509,0,17
1981,509,0,11
1982,509,0,2
1983,509,0,8
1984,509,1,6
1985,509,0,8
1986,509,5,15
1987,509,2,8
1988,509,0,7
1989,509,5,0
1990,509,4,5
1991,509,3,15
1992,509,2,6
1993,509,1,7
1994,509,4,11
1995,509,5,8
1996,509,0,10
1997,509,4,9
1998,509,0,16
1999,509,3,8
2000,509,2,6
2001,509,NA,1
2002,509,0,5
2003,509,NA,2
2004,509,3,4
2005,509,NA,2
2006,,NA,0
2007,,NA,0
2008,,0,NA
2009,,NA,0
2010,,NA,NA
2011,,NA,0
2012,,0,NA
2013,,NA,2
2014,,NA,NA
2015,,NA,0
2016,,0,0
2017,,NA,0
