HUNT_YEAR,SPECIES,CI,PROV_FLAG,WMU,REGION,HUNTERS,DAYS,KILLS,MALE_RATIO,FEMALE_RATIO,JUVENILE_RATIO,UNKNOWN_RATIO,KPD,R_NR
1976,GOAT,yes,0,113,1,,,,,,,,NA,NR
1976,GOAT,yes,0,114,1,,,,,,,,NA,NR
1976,GOAT,yes,0,115,1,,,2,1,0,0,0,NA,NR
1976,GOAT,yes,0,205,2,,,,,,,,NA,NR
1976,GOAT,yes,0,206,2,,,,,,,,NA,NR
1976,GOAT,yes,0,207,2,,,,,,,,NA,NR
1976,GOAT,yes,0,208,2,,,,,,,,NA,NR
1976,GOAT,yes,0,209,2,,,,,,,,NA,NR
1976,GOAT,yes,0,210,2,,,,,,,,NA,NR
1976,GOAT,yes,0,211,2,,,,,,,,NA,NR
1976,GOAT,yes,0,212,2,,,,,,,,NA,NR
1976,GOAT,yes,0,213,2,,,,,,,,NA,NR
1976,GOAT,yes,0,214,2,,,,,,,,NA,NR
1976,GOAT,yes,0,215,2,,,,,,,,NA,NR
1976,GOAT,yes,0,312,3,,,,,,,,NA,NR
1976,GOAT,yes,0,314,3,,,,,,,,NA,NR
1976,GOAT,yes,0,315,3,,,,,,,,NA,NR
1976,GOAT,yes,0,316,3,,,,,,,,NA,NR
1976,GOAT,yes,0,319,3,,,,,,,,NA,NR
1976,GOAT,yes,0,332,3,,,1,0,0,0,1,NA,NR
1976,GOAT,yes,0,333,3,,,,,,,,NA,NR
1976,GOAT,yes,0,334,3,,,,,,,,NA,NR
1976,GOAT,yes,0,335,3,,,,,,,,NA,NR
1976,GOAT,yes,0,336,3,,,,,,,,NA,NR
1976,GOAT,yes,0,343,3,,,,,,,,NA,NR
1976,GOAT,yes,0,344,3,,,,,,,,NA,NR
1976,GOAT,yes,0,345,3,,,,,,,,NA,NR
1976,GOAT,yes,0,346,3,,,1,0,0,0,1,NA,NR
1976,GOAT,yes,0,415,4,,,,,,,,NA,NR
1976,GOAT,yes,0,420,4,,,,,,,,NA,NR
1976,GOAT,yes,0,423,4,,,,,,,,NA,NR
1976,GOAT,yes,0,424,4,,,,,,,,NA,NR
1976,GOAT,yes,0,426,4,,,,,,,,NA,NR
1976,GOAT,yes,0,428,4,,,,,,,,NA,NR
1976,GOAT,yes,0,432,4,,,,,,,,NA,NR
1976,GOAT,yes,0,436,4,,,,,,,,NA,NR
1976,GOAT,yes,0,437,4,,,,,,,,NA,NR
1976,GOAT,yes,0,438,4,,,,,,,,NA,NR
1976,GOAT,yes,0,440,4,,,,,,,,NA,NR
1976,GOAT,yes,0,501,5,,,,,,,,NA,NR
1976,GOAT,yes,0,502,5,,,,,,,,NA,NR
1976,GOAT,yes,0,503,5,,,,,,,,NA,NR
1976,GOAT,yes,0,504,5,,,3,0.67,0.33,0,0,NA,NR
1976,GOAT,yes,0,505,5,,,10,0.5,0.5,0,0,NA,NR
1976,GOAT,yes,0,506,5,,,4,0.75,0,0,0.25,NA,NR
1976,GOAT,yes,0,508,5,,,,,,,,NA,NR
1976,GOAT,yes,0,509,5,,,1,0,0,0,1,NA,NR
1976,GOAT,yes,0,510,5,,,,,,,,NA,NR
1976,GOAT,yes,0,511,5,,,,,,,,NA,NR
1976,GOAT,yes,0,512,5,,,,,,,,NA,NR
1976,GOAT,yes,0,513,5,,,,,,,,NA,NR
1976,GOAT,yes,0,515,5,,,2,0.5,0,0,0.5,NA,NR
1976,GOAT,yes,0,601,6,,,,,,,,NA,NR
1976,GOAT,yes,0,602,6,,,,,,,,NA,NR
1976,GOAT,yes,0,603,6,,,,,,,,NA,NR
1976,GOAT,yes,0,604,6,,,1,1,0,0,0,NA,NR
1976,GOAT,yes,0,607,6,,,,,,,,NA,NR
1976,GOAT,yes,0,608,6,,,1,1,0,0,0,NA,NR
1976,GOAT,yes,0,609,6,,,,,,,,NA,NR
1976,GOAT,yes,0,610,6,,,,,,,,NA,NR
1976,GOAT,yes,0,611,6,,,,,,,,NA,NR
1976,GOAT,yes,0,613,6,,,,,,,,NA,NR
1976,GOAT,yes,0,614,6,,,1,1,0,0,0,NA,NR
1976,GOAT,yes,0,615,6,,,,,,,,NA,NR
1976,GOAT,yes,0,616,6,,,,,,,,NA,NR
1976,GOAT,yes,0,617,6,,,2,0,1,0,0,NA,NR
1976,GOAT,yes,0,618,6,,,14,0.64,0.14,0,0.21,NA,NR
1976,GOAT,yes,0,619,6,,,11,0.45,0.45,0,0.09,NA,NR
1976,GOAT,yes,0,620,6,,,32,0.47,0.31,0,0.22,NA,NR
1976,GOAT,yes,0,621,6,,,2,1,0,0,0,NA,NR
1976,GOAT,yes,0,622,6,,,,,,,,NA,NR
1976,GOAT,yes,0,623,6,,,24,0.67,0.25,0,0.08,NA,NR
1976,GOAT,yes,0,624,6,,,,,,,,NA,NR
1976,GOAT,yes,0,625,6,,,7,0.71,0.14,0,0.14,NA,NR
1976,GOAT,yes,0,626,6,,,19,0.68,0.26,0,0.05,NA,NR
1976,GOAT,yes,0,627,6,,,8,0.38,0.38,0,0.25,NA,NR
1976,GOAT,yes,0,628,6,,,,,,,,NA,NR
1976,GOAT,yes,0,629,6,,,2,1,0,0,0,NA,NR
1976,GOAT,yes,0,630,6,,,,,,,,NA,NR
1976,GOAT,yes,0,815,8,,,,,,,,NA,NR
1976,GOAT,yes,0,823,8,,,,,,,,NA,NR
1976,GOAT,yes,0,824,8,,,,,,,,NA,NR
1976,GOAT,yes,0,825,8,,,,,,,,NA,NR
1976,GOAT,yes,0,701,7A,,,,,,,,NA,NR
1976,GOAT,yes,0,702,7A,,,,,,,,NA,NR
1976,GOAT,yes,0,703,7A,,,1,0,0,0,1,NA,NR
1976,GOAT,yes,0,704,7A,,,,,,,,NA,NR
1976,GOAT,yes,0,705,7A,,,,,,,,NA,NR
1976,GOAT,yes,0,717,7A,,,,,,,,NA,NR
1976,GOAT,yes,0,718,7A,,,,,,,,NA,NR
1976,GOAT,yes,0,723,7A,,,1,1,0,0,0,NA,NR
1976,GOAT,yes,0,727,7A,,,,,,,,NA,NR
1976,GOAT,yes,0,728,7A,,,,,,,,NA,NR
1976,GOAT,yes,0,729,7A,,,,,,,,NA,NR
1976,GOAT,yes,0,730,7A,,,,,,,,NA,NR
1976,GOAT,yes,0,737,7A,,,8,0.5,0.25,0,0.25,NA,NR
1976,GOAT,yes,0,738,7A,,,4,0.5,0.5,0,0,NA,NR
1976,GOAT,yes,0,739,7A,,,27,0.3,0.56,0,0.15,NA,NR
1976,GOAT,yes,0,740,7A,,,3,0.67,0.33,0,0,NA,NR
1976,GOAT,yes,0,741,7A,,,12,0.58,0.17,0,0.25,NA,NR
1976,GOAT,yes,0,719,7B,,,2,0.5,0.5,0,0,NA,NR
1976,GOAT,yes,0,720,7B,,,,,,,,NA,NR
1976,GOAT,yes,0,721,7B,,,,,,,,NA,NR
1976,GOAT,yes,0,731,7B,,,2,0,1,0,0,NA,NR
1976,GOAT,yes,0,733,7B,,,,,,,,NA,NR
1976,GOAT,yes,0,735,7B,,,,,,,,NA,NR
1976,GOAT,yes,0,736,7B,,,6,0.33,0.5,0,0.17,NA,NR
1976,GOAT,yes,0,742,7B,,,10,0.6,0.4,0,0,NA,NR
1976,GOAT,yes,0,743,7B,,,10,0.3,0.1,0,0.6,NA,NR
1976,GOAT,yes,0,745,7B,,,,,,,,NA,NR
1976,GOAT,yes,0,747,7B,,,1,0,0,0,1,NA,NR
1976,GOAT,yes,0,749,7B,,,2,1,0,0,0,NA,NR
1976,GOAT,yes,0,750,7B,,,12,0.42,0.42,0,0.17,NA,NR
1976,GOAT,yes,0,751,7B,,,35,0.6,0.29,0,0.11,NA,NR
1976,GOAT,yes,0,752,7B,,,82,0.5,0.44,0,0.06,NA,NR
1976,GOAT,yes,0,753,7B,,,1,1,0,0,0,NA,NR
1976,GOAT,yes,0,754,7B,,,4,0.75,0.25,0,0,NA,NR
1976,GOAT,yes,0,755,7B,,,,,,,,NA,NR
1976,GOAT,yes,0,113,1,1,8,0,0,0,0,0,0,R
1976,GOAT,yes,0,114,1,2,14,0,0,0,0,0,0,R
1976,GOAT,yes,0,115,1,18,114,2,0,1,0,0,0.01754386,R
1976,GOAT,yes,0,205,2,25,82,1,1,0,0,0,0.012195122,R
1976,GOAT,yes,0,206,2,28,88,4,1,0,0,0,0.045454545,R
1976,GOAT,yes,0,207,2,9,21,0,0,0,0,0,0,R
1976,GOAT,yes,0,208,2,29,97,5,0.4,0.6,0,0,0.051546392,R
1976,GOAT,yes,0,209,2,28,120,6,0.5,0.5,0,0,0.05,R
1976,GOAT,yes,0,210,2,14,36,1,0,0,0,1,0.027777778,R
1976,GOAT,yes,0,211,2,15,41,0,0,0,0,0,0,R
1976,GOAT,yes,0,212,2,9,16,0,0,0,0,0,0,R
1976,GOAT,yes,0,213,2,2,6,0,0,0,0,0,0,R
1976,GOAT,yes,0,214,2,8,24,0,0,0,0,0,0,R
1976,GOAT,yes,0,215,2,25,87,4,1,0,0,0,0.045977011,R
1976,GOAT,yes,0,312,3,2,2,0,0,0,0,0,0,R
1976,GOAT,yes,0,314,3,1,2,0,0,0,0,0,0,R
1976,GOAT,yes,0,315,3,6,17,2,1,0,0,0,0.117647059,R
1976,GOAT,yes,0,316,3,112,396,16,0.69,0.31,0,0,0.04040404,R
1976,GOAT,yes,0,319,3,9,25,0,0,0,0,0,0,R
1976,GOAT,yes,0,332,3,31,104,2,0,1,0,0,0.019230769,R
1976,GOAT,yes,0,333,3,32,107,6,0.33,0.5,0,0.17,0.056074766,R
1976,GOAT,yes,0,334,3,1,2,0,0,0,0,0,0,R
