Density,Location,Study,,,,
0.02,Coastal,"Hebert, DH, and Turnbull, WG (1977). A description of southern Interior and coastal mountain goat ecotypes in British Columbia. Proceedings First International Mountain Goat Symposium. Queen’s Printer, Victoria, BC.  21pp.",,,,Bridger 2018
0.04,Interior,"Wood, MD. (2002). Summer Inventory of Mountain Goats And Stone’s Sheep in the Nabesche River Drainage, North-eastern British Columbia. PWFWCP Report No. 265. 19pp.",,,,Bridger 2019
0.07,Coastal,"Hebert, DH, and Turnbull, WG (1977). A description of southern Interior and coastal mountain goat ecotypes in British Columbia. Proceedings First International Mountain Goat Symposium. Queen’s Printer, Victoria, BC.  21pp.",,,,Bridger and Woods 2017
0.08,Coastal,"Hebert, DH, and Turnbull, WG (1977). A description of southern Interior and coastal mountain goat ecotypes in British Columbia. Proceedings First International Mountain Goat Symposium. Queen’s Printer, Victoria, BC.  21pp.",,,,Hebert and Langin 1982
0.09,Coastal,"Hebert, DM and Langin HD (1982). Mountain Goat Inventory and Harvest Strategies: A Re-Evaluation. Biennial Symposium of the Northern Wild Sheep and Goat Council 3: 339-350",,,,Hebert and Langin 1982
0.09,Coastal,"Hebert, DH, and Turnbull, WG (1977). A description of southern Interior and coastal mountain goat ecotypes in British Columbia. Proceedings First International Mountain Goat Symposium. Queen’s Printer, Victoria, BC.  21pp.",,,,Hebert and Langin 1982
0.1,Coastal,"Marshall, R (1989). Seven Sisters Mountain Goat Survey. ",,,,Hebert and Langin 1982
0.1,Coastal,"Schultze, G (1990). Mountain Goat and Sheep Inventory of the Tagish Highlands Area in MU 6-27. BC Ministry of Environment report. 11pp.",,,,Hebert and Langin 1982
0.1,Coastal,"Schultze, G (1990). Mountain Goat and Sheep Inventory of the Tagish Highlands Area in MU 6-27. BC Ministry of Environment report. 11pp.",,,,Hebert and Smith 1986
0.12,Interior,"Klafki, R and Poole, KG (2008). Mountain goat survey in the Monashee Range, Management Units 8-23 and 4-32 Okanagan and Kootenay regions, British Columbia, September 2008. Report prepared for British Columbia Ministry of Environment. 14pp.",,,,Hebert and Smith 1986
0.13,Coastal,"Reid, D (1996). Mountain Goat Inventory in the Nisga'a Wildlife Management Area Region A. Unpublished Report for BC Ministry of Environment. ",,,,Hebert and Smith 1986
0.15,Interior,"Bridger, M and Woods, A (2017). Mountain Goat Inventory Eastern Slopes July 2016. Peace Region Technical Report. 20pp.",,,,Hebert and Smith 1986
0.2,Interior,"Bridger, M (2019). Mountain Goat Inventory Toad River. Peace Region Technical Report. 22pp.",,,,Hebert and Smith 1986
0.2,Coastal,"Marshall, R (1989). Seven Sisters Mountain Goat Survey. ",,,,Hebert and Smith 1986
0.2,Coastal,"Marshall, R (1989). Seven Sisters Mountain Goat Survey. ",,,,Hebert and Smith 1986
0.2,Coastal,"Marshall, R (1989). Seven Sisters Mountain Goat Survey. ",,,,Hebert and Turnbull 1977
0.21,Interior,"Bridger, M (2018). Mountain Goat Inventory Muskwa-Tuchodi. Peace Region Technical Report. 21pp.",,,,Hebert and Turnbull 1977
0.21,Interior,"Wood, MD. (2002). Summer Inventory of Mountain Goats And Stone’s Sheep in the Nabesche River Drainage, North-eastern British Columbia. PWFWCP Report No. 265. 19pp.",,,,Hebert and Turnbull 1977
0.22,Coastal,"Hebert, DM and Langin HD (1982). Mountain Goat Inventory and Harvest Strategies: A Re-Evaluation. Biennial Symposium of the Northern Wild Sheep and Goat Council 3: 339-350",,,,Hebert and Turnbull 1977
0.22,Interior,"Corbould, FB (2001). Abundance and Distribution of Stone’s Sheep and Mountain Goats on the Russel Range, March 1993.  Peace/Williston Fish and Wildlife Compensation Program, Report No. 243. 19pp.",,,,Hebert and Turnbull 1977
0.25,Coastal,"Hebert, DH, and Turnbull, WG (1977). A description of southern Interior and coastal mountain goat ecotypes in British Columbia. Proceedings First International Mountain Goat Symposium. Queen’s Printer, Victoria, BC.  21pp.",,,,Hebert and Turnbull 1977
0.27,Interior,"Hengeveld, PE (2004). Mountain Goat Census in the Upper Osilinka and Mesilinka River Drainages, North-Central British Columbia, 2003. Report prepared for Abitibi-Consolidated Company of Canada. 14pp.",,,,Hebert and Turnbull 1977
0.3,Coastal,"Hebert, DH, and Turnbull, WG (1977). A description of southern Interior and coastal mountain goat ecotypes in British Columbia. Proceedings First International Mountain Goat Symposium. Queen’s Printer, Victoria, BC.  21pp.",,,,Hebert and Turnbull 1977
0.3,Coastal,"Marshall, R (1989). Seven Sisters Mountain Goat Survey. ",,,,Hebert and Turnbull 1977
0.3,Coastal,"Marshall, R (1989). Seven Sisters Mountain Goat Survey. ",,,,Hebert and Woods 1984
0.31,Interior,"Wood, MD. (2002). Summer Inventory of Mountain Goats And Stone’s Sheep in the Nabesche River Drainage, North-eastern British Columbia. PWFWCP Report No. 265. 19pp.",,,,Hebert and Woods 1984
0.32,Coastal,"Hebert, DH, and Turnbull, WG (1977). A description of southern Interior and coastal mountain goat ecotypes in British Columbia. Proceedings First International Mountain Goat Symposium. Queen’s Printer, Victoria, BC.  21pp.",,,,Hengeveld 2004
0.32,Coastal,"Hebert, DH, and Turnbull, WG (1977). A description of southern Interior and coastal mountain goat ecotypes in British Columbia. Proceedings First International Mountain Goat Symposium. Queen’s Printer, Victoria, BC.  21pp.",,,,Klafki and Poole 2008
0.32,Coastal,"Hebert, DH, and Turnbull, WG (1977). A description of southern Interior and coastal mountain goat ecotypes in British Columbia. Proceedings First International Mountain Goat Symposium. Queen’s Printer, Victoria, BC.  21pp.",,,,Macgregor 1977
