Rowid,VALUE,COUNT
0,2,1
1,3,391
2,4,1052
3,5,3147
4,6,3824
5,7,4800
6,8,4754
7,9,4620
8,10,4018
9,11,3828
10,12,3910
11,13,3768
12,14,3639
13,15,3896
14,16,3689
15,17,3690
16,18,3687
17,19,3983
18,20,4309
19,21,4022
20,22,6111
21,23,4565
22,24,4413
23,25,4430
24,26,4667
25,27,4741
26,28,4745
27,29,4699
28,30,4727
29,31,4729
30,32,4807
31,33,4951
32,34,5060
33,35,5042
34,36,4870
35,37,4770
36,38,4964
37,39,4637
38,40,4546
39,41,4564
40,42,4525
41,43,4309
42,44,4066
43,45,4124
44,46,3901
45,47,3976
46,48,4061
47,49,3876
48,50,3985
49,51,3972
50,52,4104
51,53,3985
52,54,10253
53,55,4348
54,56,4237
55,57,4223
56,58,4435
57,59,4392
58,60,4530
59,61,4508
60,62,4232
61,63,4458
62,64,5989
63,65,4332
64,66,4240
65,67,4280
66,68,4238
67,69,4344
68,70,4274
69,71,4111
70,72,4185
71,73,8262
72,74,4436
73,75,4545
74,76,4823
75,77,4925
76,78,5957
77,79,4809
78,80,4950
79,81,4943
80,82,5852
81,83,4802
82,84,27914
83,85,5631
84,86,9501
85,87,5670
86,88,5868
87,89,5492
88,90,5286
89,91,7630
90,92,5730
91,93,5391
92,94,5612
93,95,5790
94,96,6011
95,97,6133
96,98,5989
97,99,5935
98,100,5994
99,101,14156
100,102,5582
101,103,5969
102,104,5914
103,105,5721
104,106,5512
105,107,5530
106,108,5708
107,109,8306
108,110,5483
109,111,11411
110,112,5556
111,113,5770
112,114,5646
113,115,5567
114,116,5525
115,117,5362
116,118,5397
117,119,23097
118,120,5569
119,121,5762
120,122,5440
121,123,5648
122,124,5535
123,125,7674
124,126,5689
125,127,5663
126,128,5724
127,129,5438
128,130,5441
129,131,11724
130,132,5508
131,133,5321
132,134,5484
133,135,5265
134,136,5332
135,137,6305
136,138,5406
137,139,5280
138,140,5968
139,141,5511
140,142,5382
141,143,5429
142,144,5465
143,145,5479
144,146,5491
145,147,11300
146,148,5779
147,149,5784
148,150,5820
149,151,5826
150,152,5678
151,153,5789
152,154,5791
153,155,5581
154,156,5724
155,157,7578
156,158,5557
157,159,5616
158,160,5595
159,161,5571
160,162,5537
161,163,5643
162,164,5630
163,165,5513
164,166,5447
165,167,5483
166,168,5486
167,169,5419
168,170,5335
169,171,5204
170,172,5436
171,173,5426
172,174,5315
173,175,5278
174,176,5309
175,177,5210
176,178,5278
177,179,5301
178,180,5197
179,181,5306
180,182,5210
181,183,5097
182,184,5247
183,185,5079
184,186,5072
185,187,5210
186,188,5074
187,189,5082
188,190,5110
189,191,4990
190,192,5054
191,193,5072
192,194,5121
193,195,14466
194,196,5374
195,197,5266
196,198,5183
197,199,5204
198,200,5182
199,201,5378
200,202,5388
201,203,5257
202,204,5147
203,205,5371
204,206,5230
205,207,5310
206,208,5169
207,209,5310
208,210,5179
209,211,5195
210,212,5310
211,213,5301
212,214,5080
213,215,5163
214,216,5233
215,217,5230
216,218,5175
217,219,5338
218,220,5146
219,221,5112
220,222,4994
221,223,4994
222,224,5166
223,225,5215
224,226,5167
225,227,5148
226,228,5219
227,229,5121
228,230,5043
229,231,5230
230,232,5084
231,233,5026
232,234,5161
233,235,5007
234,236,5143
235,237,5196
236,238,5234
237,239,5069
238,240,5198
239,241,5247
240,242,5442
241,243,5195
242,244,5182
243,245,5283
244,246,5261
245,247,5417
246,248,5221
247,249,5160
248,250,5288
249,251,5169
250,252,5119
251,253,5209
252,254,5212
253,255,5166
254,256,5185
255,257,5145
256,258,5072
257,259,5126
258,260,5140
259,261,5046
260,262,5070
261,263,5053
262,264,5231
263,265,5124
264,266,5179
265,267,5062
266,268,5133
267,269,8977
268,270,5150
269,271,5148
270,272,5084
271,273,5132
272,274,5117
273,275,5175
274,276,5079
275,277,5298
276,278,6031
277,279,5300
278,280,5198
279,281,5650
280,282,5359
281,283,5187
282,284,5283
283,285,5111
284,286,5318
285,287,5217
286,288,5199
287,289,5145
288,290,5179
289,291,5185
290,292,5171
291,293,5354
292,294,5332
293,295,5367
294,296,5154
295,297,5575
296,298,5370
297,299,5490
298,300,5396
299,301,5247
300,302,5478
301,303,6094
302,304,5783
303,305,5821
304,306,5765
305,307,5727
306,308,5609
307,309,5605
308,310,5378
309,311,5504
310,312,5411
311,313,5455
312,314,6026
313,315,5473
314,316,5342
315,317,5375
316,318,5437
317,319,5404
318,320,5475
319,321,5451
320,322,5477
321,323,5489
322,324,5479
323,325,5377
324,326,5508
325,327,5408
326,328,5306
327,329,5513
328,330,6102
329,331,5584
330,332,5481
331,333,8909
332,334,5642
333,335,5555
334,336,5497
335,337,5799
336,338,5830
337,339,5765
338,340,5600
339,341,5696
340,342,5685
341,343,5598
342,344,5870
343,345,5721
344,346,5715
345,347,5712
346,348,5787
347,349,5865
348,350,5577
349,351,5687
350,352,5855
351,353,5765
352,354,5977
353,355,5724
354,356,5881
355,357,5807
356,358,5675
357,359,5708
358,360,5786
359,361,5564
360,362,5656
361,363,5614
362,364,5515
363,365,5608
364,366,5531
365,367,5536
366,368,5502
367,369,5595
368,370,5622
369,371,5642
370,372,5695
371,373,5911
372,374,5856
373,375,5899
374,376,6288
375,377,5831
376,378,5733
377,379,5756
378,380,5872
379,381,5988
380,382,5764
381,383,6541
382,384,5747
383,385,5946
384,386,5855
385,387,5792
386,388,5624
387,389,5889
388,390,5724
389,391,5742
390,392,5750
391,393,5735
392,394,5773
393,395,5667
394,396,5902
395,397,5613
396,398,5756
397,399,5616
398,400,5830
399,401,5674
400,402,5718
401,403,5626
402,404,5748
403,405,5786
404,406,5610
405,407,5906
406,408,5738
407,409,5550
408,410,5764
409,411,5705
410,412,6191
411,413,5725
412,414,5741
413,415,5703
414,416,5737
415,417,6128
416,418,5761
417,419,5713
418,420,5780
419,421,5656
420,422,5653
421,423,5714
422,424,5656
423,425,5592
424,426,5683
425,427,5774
426,428,5679
427,429,5570
428,430,5613
429,431,5660
430,432,5583
431,433,5658
432,434,5685
433,435,5602
434,436,5582
435,437,5514
436,438,6427
437,439,5533
438,440,5611
439,441,5496
440,442,5586
441,443,5489
442,444,5943
443,445,6204
444,446,5538
445,447,5509
446,448,5624
447,449,5451
448,450,5584
449,451,5588
450,452,5583
451,453,5768
452,454,5681
453,455,5650
454,456,5556
455,457,5625
456,458,5654
457,459,5616
458,460,5702
459,461,5854
460,462,5759
461,463,5768
462,464,5644
463,465,5800
464,466,5695
465,467,5724
466,468,5622
467,469,5745
468,470,5756
469,471,5673
470,472,6617
471,473,5639
472,474,5810
