YEAR,WMU,,MALE_RATIO,FEMALE_RATIO,JUVENILE_RATIO
1976,509,,50,50,0
1977,509,,0,50,50
1978,509,,50,50,0
1979,509,,33,67,0
1980,509,,0,0,0
1981,509,,0,0,0
1982,509,,0,0,0
1983,509,,0,0,0
1984,509,,0,100,0
1985,509,,0,0,0
1986,509,,0,67,33
1987,509,,50,50,0
1988,509,,0,0,0
1989,509,,33,67,0
1990,509,,50,50,0
1991,509,,50,50,0
1992,509,,100,0,0
1993,509,,100,0,0
1994,509,,100,0,0
1995,509,,75,25,0
1996,509,,0,0,0
1997,509,,100,0,0
1998,509,,0,0,0
1999,509,,100,0,0
2000,509,,0,100,0
2001,509,,0,0,0
2002,509,,0,0,0
2003,509,,0,0,0
2004,509,,0,100,0
2005,509,,0,0,0
2006,509,,0,0,0
2007,509,,0,0,0
2008,509,,0,0,0
2009,509,,0,0,0
2010,509,,0,0,0
2011,509,,0,0,0
2012,509,,0,0,0
2013,509,,0,0,0
2014,509,,0,0,0
2015,509,,0,0,0
2016,509,,0,0,0
2017,509,,0,0,0
1976,603,,0,100,0
1977,603,,0,100,0
1978,603,,50,50,0
1979,603,,57,43,0
1980,603,,27,64,9
1981,603,,13,75,13
1982,603,,0,0,100
1983,603,,40,60,0
1984,603,,40,40,20
1985,603,,83,17,0
1986,603,,56,44,0
1987,603,,50,50,0
1988,603,,80,0,20
1989,603,,0,0,0
1990,603,,100,0,0
1991,603,,50,50,0
1992,603,,0,100,0
1993,603,,50,50,0
1994,603,,67,33,0
1995,603,,20,80,0
1996,603,,29,71,0
1997,603,,80,20,0
1998,603,,60,40,0
1999,603,,60,40,0
2000,603,,100,0,0
2001,603,,100,0,0
2002,603,,33,67,0
2003,603,,100,0,0
2004,603,,0,100,0
2005,603,,100,0,0
2006,603,,0,0,0
2007,603,,0,0,0
2008,603,,0,0,0
2009,603,,0,0,0
2010,603,,0,0,0
2011,603,,0,0,0
2012,603,,0,0,0
2013,603,,100,0,0
2014,603,,0,0,0
2015,603,,0,0,0
2016,603,,0,0,0
2017,603,,0,0,0
